frequency,power
1.009189840318007958e+00,3.666291108065179022e-02
1.018017629158915138e+00,4.179869201361818137e-02
1.026845417999822097e+00,4.581780607093552393e-02
1.035673206840729055e+00,4.847896344839639632e-02
1.044500995681636235e+00,4.962619776289711043e-02
1.053328784522543415e+00,4.920472953216198375e-02
1.062156573363450374e+00,4.725427145751747576e-02
1.070984362204357332e+00,4.388897300769422499e-02
1.079812151045264512e+00,3.928025170292866880e-02
1.088639939886171693e+00,3.364767223409637076e-02
1.097467728727078651e+00,2.725199941032322229e-02
1.106295517567985609e+00,2.038721494501534795e-02
1.115123306408892789e+00,1.337484651775204363e-02
1.123951095249799970e+00,6.568068555501833591e-03
1.132778884090706928e+00,9.920439826617514101e-04
1.141606672931613886e+00,5.427194312488523541e-03
1.150434461772521066e+00,9.811435616465840476e-03
1.159262250613428247e+00,1.295757825106850364e-02
1.168090039454335205e+00,1.473531957532221888e-02
1.176917828295242163e+00,1.510996118618723738e-02
1.185745617136149344e+00,1.413078915156240969e-02
1.194573405977056524e+00,1.193078597588330750e-02
1.203401194817963482e+00,8.726042364392236697e-03
1.212228983658870440e+00,4.817161042049096335e-03
1.221056772499777621e+00,9.057986157327224891e-04
1.229884561340684801e+00,3.991861334767780531e-03
1.238712350181591759e+00,7.946929918937284051e-03
1.247540139022498717e+00,1.125657034851671769e-02
1.256367927863405898e+00,1.361684737547567449e-02
1.265195716704313078e+00,1.480221408916825021e-02
1.274023505545220036e+00,1.466170032020888865e-02
1.282851294386126995e+00,1.312776674182164829e-02
1.291679083227034175e+00,1.023547173436336125e-02
1.300506872067941355e+00,6.213480506681668368e-03
1.309334660908848313e+00,2.832954642549787190e-03
1.318162449749755272e+00,6.864369637522241101e-03
1.326990238590662452e+00,1.346342536533069387e-02
1.335818027431569632e+00,2.049275732980696679e-02
1.344645816272476591e+00,2.743649795239437236e-02
1.353473605113383549e+00,3.390085550243241569e-02
1.362301393954290729e+00,3.953670017101827694e-02
1.371129182795197909e+00,4.404250234946790327e-02
1.379956971636104868e+00,4.717677571068743664e-02
1.388784760477011826e+00,4.877281749545778200e-02
1.397612549317919006e+00,4.875199493139852763e-02
1.406440338158826187e+00,4.712857058663490889e-02
1.415268126999733145e+00,4.400333903102849470e-02
1.424095915840640103e+00,3.955248673305167273e-02
1.432923704681547283e+00,3.401881676611874517e-02
1.441751493522454464e+00,2.770310875975993958e-02
1.450579282363361422e+00,2.094765923953132922e-02
1.459407071204268380e+00,1.411026273184584623e-02
1.468234860045175560e+00,7.536352909437860591e-03
1.477062648886082741e+00,1.550753214623314330e-03
1.485890437726989699e+00,3.665065773858503222e-03
1.494718226567896657e+00,7.813300235124682330e-03
1.503546015408803838e+00,1.080566162192427536e-02
1.512373804249710796e+00,1.256734293157751002e-02
1.521201593090617976e+00,1.309338965383056302e-02
1.530029381931524934e+00,1.245008031604117292e-02
1.538857170772432115e+00,1.077484668107247037e-02
1.547684959613339295e+00,8.269927892441511150e-03
1.556512748454246253e+00,5.199699515062019411e-03
1.565340537295153212e+00,2.026214553520578471e-03
1.574168326136060392e+00,2.327434798469110461e-03
1.582996114976967572e+00,5.413381243487390936e-03
1.591823903817874530e+00,8.206377072000390835e-03
1.600651692658781489e+00,1.033147987277979220e-02
1.609479481499688447e+00,1.157347134474120791e-02
1.618307270340595849e+00,1.178487449895612195e-02
1.627135059181502585e+00,1.089041052520020765e-02
1.635962848022409766e+00,8.892961583102971732e-03
1.644790636863316946e+00,5.879939254488036372e-03
1.653618425704223904e+00,2.175761728107985810e-03
1.662446214545131085e+00,3.258503597185552578e-03
