frequency,power
6.995509385880808173e-01,7.692893546167317576e-02
7.085419573598423781e-01,8.740900047136541950e-02
7.175329761316040500e-01,9.636336063896736026e-02
7.265239949033656108e-01,1.018043521817052210e-01
7.355150136751272827e-01,1.021034872238462121e-01
7.445060324468888435e-01,9.638608544157621638e-02
7.534970512186505154e-01,8.477087783893555439e-02
7.624880699904121872e-01,6.847549861077725786e-02
7.714790887621737481e-01,5.016715124492489991e-02
7.804701075339353089e-01,3.588762362179679505e-02
7.894611263056969808e-01,3.656639749241147319e-02
7.984521450774586526e-01,5.123897841815189258e-02
8.074431638492202135e-01,6.899786913028624347e-02
8.164341826209817743e-01,8.444045550976453374e-02
8.254252013927434461e-01,9.546734472100637525e-02
8.344162201645051180e-01,1.015047942165823447e-01
8.434072389362666788e-01,1.030733974852922619e-01
8.523982577080282397e-01,1.015449128124860517e-01
8.613892764797899115e-01,9.882683911757135509e-02
8.703802952515515834e-01,9.691638269410147999e-02
8.793713140233132552e-01,9.722088019651360657e-02
8.883623327950745940e-01,9.977796825661323921e-02
8.973533515668363769e-01,1.030107854534605821e-01
9.063443703385980488e-01,1.043720021156823025e-01
9.153353891103594986e-01,1.013686303648723974e-01
9.243264078821212815e-01,9.236516058307851773e-02
9.333174266538828423e-01,7.697169511475235315e-02
9.423084454256445142e-01,5.610037441115212076e-02
9.512994641974059640e-01,3.230424452629033355e-02
9.602904829691675248e-01,1.706256566462445098e-02
9.692815017409291967e-01,3.425251140431064684e-02
9.782725205126909795e-01,5.900087832925658693e-02
9.872635392844524294e-01,8.088666026598542724e-02
9.962545580562142122e-01,9.690943446559090180e-02
1.005245576827975773e+00,1.052594683895060335e-01
1.014236595599737445e+00,1.051250485788690903e-01
1.023227614371498895e+00,9.691445401678029647e-02
1.032218633143260567e+00,8.242379734038045302e-02
1.041209651915022238e+00,6.516222291099747765e-02
1.050200670686783910e+00,5.146784000989563373e-02
1.059191689458545582e+00,5.002916250471261400e-02
1.068182708230307032e+00,6.128174433263444687e-02
1.077173727002068704e+00,7.619926843481023004e-02
1.086164745773830376e+00,8.770809865532586125e-02
1.095155764545591826e+00,9.194934749749759939e-02
1.104146783317353497e+00,8.704648326626661381e-02
1.113137802089115169e+00,7.269212454562964942e-02
1.122128820860876841e+00,4.991811924735396755e-02
1.131119839632638513e+00,2.079955059647622603e-02
1.140110858404399963e+00,1.275586612838152181e-02
1.149101877176161635e+00,4.654851184740526476e-02
1.158092895947923306e+00,7.848281972068854584e-02
1.167083914719684756e+00,1.053986645211601597e-01
1.176074933491446428e+00,1.245130717841407553e-01
1.185065952263208100e+00,1.336457611656374223e-01
1.194056971034969772e+00,1.316700966915172466e-01
1.203047989806731444e+00,1.188956113208489707e-01
1.212039008578492894e+00,9.729622783109097284e-02
1.221030027350254565e+00,7.099578909359034740e-02
1.230021046122016237e+00,4.902156634814545250e-02
1.239012064893777687e+00,4.888101153941136479e-02
1.248003083665539359e+00,6.964513072930092474e-02
1.256994102437301031e+00,9.318432717191045545e-02
1.265985121209062703e+00,1.103551527094128737e-01
1.274976139980824374e+00,1.169039173212531452e-01
1.283967158752585824e+00,1.108361145156896849e-01
1.292958177524347496e+00,9.209989228921694471e-02
1.301949196296109168e+00,6.278123604720414752e-02
1.310940215067870618e+00,3.015925990034592358e-02
1.319931233839632290e+00,3.597858612475355461e-02
1.328922252611393962e+00,7.687273587038542799e-02
1.337913271383155633e+00,1.186767748253382965e-01
1.346904290154917305e+00,1.539979356930554488e-01
1.355895308926678755e+00,1.783402783426059623e-01
1.364886327698440427e+00,1.883354024274355443e-01
1.373877346470202099e+00,1.820625719132457354e-01
1.382868365241963549e+00,1.594540340696795622e-01
1.391859384013725220e+00,1.224026505753489230e-01
1.400850402785486892e+00,7.465897183592405673e-02
1.409841421557248564e+00,2.460947573662787893e-02
1.418832440329010236e+00,4.349124806113162378e-02
1.427823459100771686e+00,9.476050196743193710e-02
1.436814477872533358e+00,1.384989006419207469e-01
1.445805496644295030e+00,1.684524994554799648e-01
1.454796515416056479e+00,1.803576057784130326e-01
1.463787534187818151e+00,1.718310105192799586e-01
1.472778552959579823e+00,1.430552425485973889e-01
1.481769571731341717e+00,9.794642729087217614e-02
