frequency,power
7.306087540147384596e-01,2.615260719561637859e-02
7.388951118425788334e-01,1.337157924944783194e-02
7.471814696704190961e-01,2.451129301390453374e-02
7.554678274982593589e-01,4.218334227130170200e-02
7.637541853260997327e-01,5.727904340069363970e-02
7.720405431539401064e-01,6.765918588104380405e-02
7.803269009817802582e-01,7.222513098153182654e-02
7.886132588096206320e-01,7.039855447181871118e-02
7.968996166374610057e-01,6.214272989447114370e-02
8.051859744653013795e-01,4.808555548457058015e-02
8.134723322931416423e-01,2.955472315987929185e-02
8.217586901209820160e-01,8.424636588234156800e-03
8.300450479488221678e-01,1.333619229991910016e-02
8.383314057766626526e-01,3.363887795149538701e-02
8.466177636045029153e-01,5.090126949269341977e-02
8.549041214323430671e-01,6.378933458367622156e-02
8.631904792601834409e-01,7.128819813483537604e-02
8.714768370880239257e-01,7.272403004660420167e-02
8.797631949158642994e-01,6.787656717966675246e-02
8.880495527437045622e-01,5.712746701529246296e-02
8.963359105715448250e-01,4.153467349024030780e-02
9.046222683993851987e-01,2.281431015111119384e-02
9.129086262272254615e-01,5.892602694043982264e-03
9.211949840550657242e-01,1.966584785347497838e-02
9.294813418829059870e-01,3.775057069065661242e-02
9.377676997107464718e-01,5.297034757586093628e-02
9.460540575385867346e-01,6.405813862947624948e-02
9.543404153664269973e-01,7.021032103526060608e-02
9.626267731942673711e-01,7.103137291820159349e-02
9.709131310221078559e-01,6.663035522565956270e-02
9.791994888499478966e-01,5.767137692554145934e-02
9.874858466777882704e-01,4.529166755175252634e-02
9.957722045056286442e-01,3.090370187784332104e-02
1.004058562333469018e+00,1.603040885215190406e-02
1.012344920161309281e+00,3.959154262840687902e-03
1.020631277989149543e+00,1.218898864079514220e-02
1.028917635816990028e+00,2.205864694988859953e-02
1.037203993644830291e+00,2.903830368167360787e-02
1.045490351472670554e+00,3.290722859994292537e-02
1.053776709300510817e+00,3.414308530581035978e-02
1.062063067128351079e+00,3.385358362703892732e-02
1.070349424956191564e+00,3.351069209626726664e-02
1.078635782784031827e+00,3.427794107022368725e-02
1.086922140611872090e+00,3.630448007765167684e-02
1.095208498439712574e+00,3.876954168884195334e-02
1.103494856267552837e+00,4.052237010488905777e-02
1.111781214095393100e+00,4.054783497394479769e-02
