time,flux
2.891015478534396152e+03,1.000234127044677512e+00
2.891016867444986474e+03,1.001221656799316406e+00
2.891018256355578160e+03,1.001059412956237571e+00
2.891019645266635507e+03,1.001401305198669434e+00
2.891021034177225374e+03,1.000129938125610352e+00
2.891022423088282721e+03,1.000802278518676758e+00
2.891023811998872588e+03,1.000986933708190696e+00
2.891025200909929936e+03,1.000545501708984375e+00
2.891026589820519803e+03,1.001376628875732422e+00
2.891027978731111034e+03,1.001437902450561523e+00
2.891029367642167017e+03,1.000265240669250488e+00
2.891030756552758703e+03,1.001414775848388672e+00
2.891032145463814231e+03,1.000216484069824219e+00
2.891033534374406372e+03,1.001101136207580344e+00
2.891034923284998058e+03,1.001145362854003906e+00
2.891036312196054041e+03,1.000218152999877930e+00
2.891037701106645272e+03,1.001891613006591575e+00
2.891039090017235139e+03,1.000664353370666504e+00
2.891040478928291577e+03,1.001597642898559570e+00
2.891041867838882808e+03,1.001155376434325950e+00
2.891043256749474040e+03,1.001168012619018333e+00
2.891044645660064361e+03,9.997269511222840466e-01
2.891046034571121254e+03,1.001966595649719238e+00
2.891047423481711576e+03,1.000312685966491699e+00
2.891048812392303262e+03,1.000864148139953613e+00
2.891050201302894948e+03,1.001721382141113281e+00
2.891051590213950476e+03,1.001857280731201172e+00
2.891052979124540343e+03,1.000819444656372070e+00
2.891054368035131574e+03,1.001170635223388672e+00
2.891055756945722806e+03,1.001057386398315430e+00
2.891057145856779698e+03,1.001261472702026367e+00
2.891058534767370929e+03,1.001553773880004883e+00
2.891059923677961251e+03,1.001295447349548340e+00
2.891061312588552482e+03,1.001916170120239258e+00
2.891062701499142804e+03,1.000535488128662109e+00
2.891064090409734490e+03,1.001263618469238281e+00
2.891065479320790928e+03,1.000541210174560325e+00
2.891066868231381250e+03,1.000737428665161133e+00
2.891068257141971571e+03,1.001035809516906738e+00
2.891069646052562803e+03,1.001345634460449219e+00
2.891071034963153124e+03,1.001075625419616699e+00
2.891072423873744810e+03,1.001475334167480469e+00
2.891073812784336496e+03,1.002120375633239524e+00
2.891075201694926818e+03,1.001935482025146484e+00
2.891076590605518049e+03,1.000591278076171875e+00
2.891077979516574032e+03,1.001590251922607422e+00
2.891079368427165264e+03,1.002293348312377930e+00
2.891080757337755585e+03,1.001309156417846680e+00
2.891082146248346817e+03,1.001675486564636230e+00
2.891083535158937138e+03,1.000219941139221191e+00
2.891084924069528370e+03,1.001484394073486328e+00
2.891086312980118237e+03,1.001795291900634766e+00
2.891087701890710377e+03,1.001343607902526855e+00
2.891089090801302063e+03,1.001801371574401855e+00
2.891090479711892385e+03,1.000869274139404297e+00
2.891091868622482707e+03,1.002142667770385520e+00
2.891093257533072574e+03,1.001790523529052734e+00
2.891094646443663805e+03,1.002582192420959473e+00
2.891096035354255037e+03,1.001818299293518066e+00
2.891097424264846723e+03,1.001604557037353516e+00
2.891098813175436590e+03,1.000727415084838867e+00
2.891100202085562614e+03,1.001863479614257812e+00
2.891101590996152936e+03,1.001744389533996360e+00
2.891102979906744622e+03,1.000987410545349121e+00
2.891104368817336308e+03,1.001690506935119629e+00
2.891105757727926175e+03,1.001508116722106712e+00
2.891107146638516042e+03,1.002776861190795898e+00
2.891108535549107273e+03,1.001772522926330344e+00
2.891109924459698505e+03,1.000908374786376731e+00
2.891111313370289736e+03,1.001807093620300293e+00
2.891112702280415306e+03,1.001904487609863281e+00
2.891114091191005627e+03,1.001128196716308372e+00
2.891115480101596859e+03,1.002263307571411133e+00
2.891116869012187180e+03,1.001465678215026855e+00
2.891118257922778412e+03,1.001550674438476340e+00
2.891119646832903072e+03,1.002629518508911133e+00
2.891121035743494303e+03,1.000398039817810059e+00
2.891122424654084625e+03,1.002042889595031516e+00
2.891123813564675856e+03,1.001586675643920898e+00
2.891125202475267088e+03,1.001287579536437988e+00
2.891126591385392658e+03,1.002650499343872070e+00
2.891127980295983889e+03,1.002145886421203613e+00
2.891129369206574211e+03,1.001325607299804688e+00
2.891130758117165442e+03,1.001739978790283203e+00
2.891132147027289648e+03,1.002199649810791016e+00
2.891133535937880424e+03,1.001293420791625977e+00
2.891134924848471655e+03,1.001564860343933105e+00
2.891136313758597225e+03,1.002086043357849121e+00
2.891137702669187547e+03,1.001415610313415527e+00
2.891139091579778778e+03,1.002133250236511230e+00
2.891140480489904348e+03,1.000378012657165527e+00
2.891141869400495580e+03,1.002271652221679688e+00
2.891143258311086811e+03,1.000972867012023926e+00
2.891144647221211017e+03,1.001358866691589133e+00
2.891146036131801793e+03,1.001941084861755149e+00
2.891147425042392115e+03,1.001137256622314453e+00
2.891148813952517685e+03,1.001324772834777832e+00
2.891150202863108916e+03,1.001289725303649902e+00
2.891151591773234486e+03,1.000810265541076660e+00
2.891152980683824808e+03,1.001712679862976074e+00
2.891154369594416039e+03,1.001265287399291992e+00
2.891155758504541609e+03,1.001817941665649414e+00
2.891157147415132840e+03,1.002502918243408203e+00
2.891158536325257501e+03,1.001427531242370605e+00
2.891159925235847822e+03,1.001339554786681907e+00
2.891161314145972483e+03,1.002046942710876465e+00
2.891162703056563714e+03,1.001855492591857910e+00
2.891164091966689284e+03,1.001621603965759277e+00
2.891165480877280515e+03,1.002082228660583496e+00
2.891166869787406085e+03,1.000975370407104492e+00
2.891168258697996407e+03,1.001303195953369141e+00
2.891169647608121977e+03,1.002163887023925559e+00
2.891171036518713208e+03,1.000953912734985130e+00
2.891172425428838324e+03,1.001602292060852051e+00
2.891173814339428191e+03,1.001525878906250000e+00
2.891175203249553761e+03,1.002821445465087891e+00
2.891176592160144082e+03,1.000977873802185059e+00
2.891177981070269652e+03,1.000576615333557129e+00
2.891179369980860884e+03,1.001993179321289062e+00
2.891180758890986453e+03,1.002263307571411133e+00
2.891182147801112023e+03,1.001539707183837891e+00
2.891183536711702345e+03,1.001648306846618652e+00
2.891184925621827006e+03,1.001631736755371094e+00
2.891186314532417782e+03,1.000652432441711426e+00
2.891187703442543807e+03,1.001954555511474609e+00
2.891189092352668467e+03,1.001934647560119629e+00
2.891190481263259699e+03,1.001264810562133567e+00
2.891191870173384359e+03,1.001150369644165039e+00
2.891193259083509929e+03,1.002370476722717285e+00
2.891194647994101160e+03,1.001401901245117188e+00
2.891196036904226730e+03,1.002517700195312500e+00
