time,flux
2.420052012918267792e+03,5.863408446311950684e-01
2.420053401806477268e+03,5.660939216613769531e-01
2.420054790694920030e+03,5.691406130790710449e-01
2.420056179583129506e+03,5.634473562240600586e-01
2.420057568471570903e+03,5.683525204658508301e-01
2.420058957359780379e+03,5.922713279724121094e-01
2.420060346247989401e+03,5.465614199638366699e-01
2.420061735136432162e+03,5.479112267494201660e-01
2.420063124024641183e+03,5.670408606529235840e-01
2.420064512913083036e+03,5.555732250213623047e-01
2.420065901801292512e+03,5.376592874526977539e-01
2.420067290689501988e+03,5.453293323516845703e-01
2.420068679577943840e+03,5.439639687538146973e-01
2.420070068466153316e+03,5.272089838981628418e-01
2.420071457354362337e+03,5.287522077560424805e-01
2.420072846242805554e+03,5.167334079742431641e-01
2.420074235131015030e+03,5.182468295097351074e-01
2.420075624019223596e+03,5.112850069999694824e-01
2.420077012907665903e+03,4.789061844348907471e-01
2.420078401795874925e+03,5.012750029563903809e-01
2.420079790684084401e+03,4.879788756370543878e-01
2.420081179572293422e+03,4.721383750438690186e-01
2.420082568460735274e+03,4.842945933341979980e-01
2.420083957348943841e+03,4.584435820579528809e-01
2.420085346237154226e+03,4.519838094711304266e-01
2.420086735125596078e+03,4.359456300735473633e-01
2.420088124013804645e+03,4.089850485324859064e-01
2.420089512902015031e+03,4.100687503814697821e-01
2.420090901790224962e+03,3.935415744781494141e-01
2.420092290678666814e+03,3.575163483619689941e-01
2.420093679566875380e+03,3.402845859527587891e-01
2.420095068455085311e+03,3.422026932239532471e-01
2.420096457343294787e+03,3.008702993392944336e-01
2.420097846231503354e+03,2.881963551044464111e-01
2.420099235119945206e+03,2.477810382843017578e-01
2.420100624008154227e+03,2.418292760848999301e-01
2.420102012896364158e+03,2.042384743690490723e-01
2.420103401784573634e+03,1.886675655841827115e-01
2.420104790672782201e+03,1.463140696287155151e-01
2.420106179561224508e+03,1.210781484842300415e-01
2.420107568449434893e+03,9.427489340305328369e-02
2.420108957337643915e+03,6.565811578184366226e-03
2.420110346225852481e+03,1.416743360459804361e-02
2.420111735114061958e+03,-3.396215662360191345e-02
2.420113124002271888e+03,-5.679241567850112915e-02
2.420114512890713286e+03,-9.020151942968368530e-02
2.420115901778921398e+03,-1.395813226699829102e-01
2.420117290667131783e+03,-1.753158569335937500e-01
2.420118679555341714e+03,-2.221843302249908447e-01
2.420120068443551190e+03,-2.421611696481704712e-01
2.420121457331760212e+03,-2.880892455577850342e-01
2.420122846219969233e+03,-3.271757960319519043e-01
2.420124235108178709e+03,-3.443955183029174805e-01
2.420125623996621016e+03,-3.854365944862365723e-01
2.420127012884830492e+03,-4.421890079975128174e-01
2.420128401773039514e+03,-4.523282051086425781e-01
2.420129790661248535e+03,-4.829058647155761719e-01
2.420131179549458921e+03,-5.338701605796813965e-01
2.420132568437667032e+03,-5.580220222473144531e-01
2.420133957325876054e+03,-5.643813014030456543e-01
2.420135346214086439e+03,-6.200488805770874023e-01
2.420136735102295006e+03,-6.614366173744201660e-01
2.420138123990504482e+03,-6.710920333862304688e-01
2.420139512878713958e+03,-7.017589807510375977e-01
2.420140901766922980e+03,-7.455598115921020508e-01
2.420142290655132001e+03,-7.677510976791382946e-01
2.420143679543341477e+03,-7.933468818664550781e-01
2.420145068431550499e+03,-8.348423838615417480e-01
2.420146457319759520e+03,-8.555046916007995605e-01
2.420147846207969906e+03,-8.887137770652770996e-01
2.420149235096412212e+03,-9.001352190971374512e-01
2.420150623984620779e+03,-9.398280978202820934e-01
2.420152012872830255e+03,-9.768993258476256214e-01
2.420153401761039731e+03,-9.809811115264892578e-01
2.420154790649248753e+03,-9.920862913131711647e-01
2.420156179537457774e+03,-1.016762375831604004e+00
2.420157568425667250e+03,-1.036463022232055664e+00
2.420158957313876726e+03,-1.039982914924621582e+00
2.420160346201852917e+03,-1.060476183891296387e+00
2.420161735090061939e+03,-1.085805296897887962e+00
2.420163123978271415e+03,-1.071588635444641113e+00
2.420164512866480891e+03,-1.082452774047851562e+00
2.420165901754690367e+03,-1.118040680885314719e+00
2.420167290642899843e+03,-1.107147097587585449e+00
2.420168679531108864e+03,-1.056780934333801270e+00
2.420170068419318341e+03,-1.103080153465270774e+00
2.420171457307527817e+03,-1.094266891479491965e+00
2.420172846195736838e+03,-1.054705500602721946e+00
2.420174235083945405e+03,-1.073699951171875000e+00
2.420175623972155790e+03,-1.032662749290466309e+00
2.420177012860365267e+03,-1.012333273887634277e+00
2.420178401748573378e+03,-9.729158878326416016e-01
2.420179790636783309e+03,-9.621825218200684704e-01
2.420181179524992785e+03,-9.190584421157836914e-01
2.420182568413202262e+03,-8.798000216484070934e-01
2.420183957301178452e+03,-8.255323767662048340e-01
