time,flux
1.955878695126916000e+03,1.640581488609313965e+00
1.955880084011003191e+03,1.638065695762634277e+00
1.955881472895083107e+03,1.606781959533691406e+00
1.955882861779162113e+03,1.605775594711303711e+00
1.955884250663226339e+03,1.635726332664489524e+00
1.955885639547291930e+03,1.609085321426391602e+00
1.955887028431357294e+03,1.593820691108703613e+00
1.955888417315408105e+03,1.630779862403869629e+00
1.955889806199458462e+03,1.601929426193237305e+00
1.955891195083501998e+03,1.587370753288269043e+00
1.955892583967545534e+03,1.617799758911132812e+00
1.955893972851581566e+03,1.605518341064453125e+00
1.955895361735610322e+03,1.606044292449951172e+00
1.955896750619632030e+03,1.621536970138549805e+00
1.955898139503646462e+03,1.622664332389831543e+00
1.955899528387660894e+03,1.611131548881530762e+00
1.955900917271675098e+03,1.606893539428710715e+00
1.955902306155674296e+03,1.637422561645507812e+00
1.955903695039673266e+03,1.635174393653869629e+00
1.955905083923665643e+03,1.641385316848754883e+00
1.955906472807651653e+03,1.643259406089782715e+00
1.955907861691637663e+03,1.662652611732482910e+00
1.955909250575615260e+03,1.656081557273864746e+00
1.955910639459593540e+03,1.662730336189270020e+00
1.955912028343556813e+03,1.653530478477478027e+00
1.955913417227520313e+03,1.653943657875061035e+00
1.955914806111483585e+03,1.674015998840332031e+00
1.955916194995440037e+03,1.667264699935913086e+00
1.955917583879388758e+03,1.659958720207214355e+00
1.955918972763330430e+03,1.660484313964843528e+00
1.955920361647272102e+03,1.674253821372985840e+00
1.955921750531205589e+03,1.689058899879455566e+00
1.955923139415132027e+03,1.712114572525024414e+00
1.955924528299058693e+03,1.695138216018676758e+00
1.955925917182978310e+03,1.700686335563659668e+00
1.955927306066897927e+03,1.680292129516601562e+00
1.955928694950810723e+03,1.712802648544311523e+00
1.955930083834716015e+03,1.682113289833068848e+00
1.955931472718614032e+03,1.687730073928833008e+00
1.955932861602512048e+03,1.661883115768432617e+00
1.955934250486410292e+03,1.667853355407714844e+00
1.955935639370294439e+03,1.672269821166991965e+00
1.955937028254185179e+03,1.686192631721496360e+00
1.955938417138061141e+03,1.678379297256469505e+00
1.955939806021937102e+03,1.706686735153198242e+00
1.955941194905805105e+03,1.702830672264099121e+00
1.955942583789673563e+03,1.708670735359191895e+00
1.955943972673535200e+03,1.684885382652282715e+00
1.955945361557389106e+03,1.709884881973266602e+00
1.955946750441243239e+03,1.703511476516723633e+00
1.955948139325097600e+03,1.699077844619750755e+00
1.955949528208937636e+03,1.723564982414245605e+00
1.955950917092777217e+03,1.710146427154541016e+00
1.955952305976616799e+03,1.715768337249755859e+00
1.955953694860449104e+03,1.731501936912536621e+00
1.955955083744274361e+03,1.703758955001831055e+00
1.955956472628100073e+03,1.694781780242919922e+00
1.955957861511917599e+03,1.744216680526733176e+00
1.955959250395734898e+03,1.705635786056518333e+00
1.955960639279544694e+03,1.678984761238097922e+00
1.955962028163347895e+03,1.710665225982666016e+00
1.955963417047152006e+03,1.657088875770568848e+00
1.955964805930948842e+03,1.654360532760619895e+00
1.955966194814744767e+03,1.678913593292236328e+00
1.955967583698533645e+03,1.667699456214904785e+00
1.955968972582322294e+03,1.678387880325317161e+00
1.955970361466103896e+03,1.649500131607055664e+00
1.955971750349885269e+03,1.642773151397705078e+00
1.955973139233659595e+03,1.661630988121032715e+00
1.955974528117426416e+03,1.630136013031005859e+00
1.955975917001193693e+03,1.609601497650146484e+00
1.955977305884952784e+03,1.553981304168701172e+00
1.955978694768712103e+03,1.493228435516357422e+00
1.955980083652471194e+03,1.434658646583557129e+00
1.955981472536216415e+03,1.289445519447326660e+00
1.955982861419968913e+03,1.159650802612304688e+00
1.955984250303706403e+03,9.935173392295836292e-01
1.955985639187451625e+03,8.769329786300659180e-01
1.955987028071182294e+03,7.484822273254395641e-01
1.955988416954920012e+03,6.572592854499816895e-01
1.955989805838643179e+03,5.480934977531433105e-01
1.955991194722366345e+03,5.736332535743713379e-01
1.955992583606090420e+03,5.646135210990905762e-01
1.955993972489807220e+03,5.582168102264404297e-01
1.955995361373523110e+03,5.443501472473144531e-01
1.955996750257231952e+03,5.554132461547851562e-01
1.955998139140940111e+03,6.149741411209106445e-01
1.955999528024640767e+03,6.509686708450317383e-01
1.956000916908342333e+03,6.784826517105102539e-01
1.956002305792036395e+03,7.737867236137390137e-01
1.956003694675723182e+03,8.584985733032227673e-01
1.956005083559417699e+03,9.645072221755980335e-01
1.956006472443097664e+03,1.067125201225280762e+00
1.956007861326783996e+03,1.169690012931823508e+00
1.956009250210456457e+03,1.232061743736267090e+00
1.956010639094135968e+03,1.307146072387695090e+00
1.956012027977808884e+03,1.341587781906127930e+00
